id,japaneseName,photo,dateTaken,placeName,latitude,longitude,prefecture,country,individualType,memo,speciesGroupID
1,アトリ,/写真保管フォルダ/アトリ_1_20260305_京都御苑.jpg,2026/3/5,京都御苑,35.0253,135.7621,京都府,日本,成鳥メス,バードパス,アトリ
2,ジョウビタキ,/写真保管フォルダ/ジョウビタキ_1_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,奈良県,日本,成鳥メス,,ジョウビタキ
3,アオジ,/写真保管フォルダ/アオジ_1_20260207_山田池公園.jpg,2026/2/7,山田池公園,34.822314,135.690838,大阪府,日本,成鳥オス,,アオジ
4,アカゲラ,/写真保管フォルダ/アカゲラ_1_20260212_円山公園.jpg,2026/2/12,円山公園,43.055,141.3144,北海道,日本,,,アカゲラ
5,アメリカヒドリ,/写真保管フォルダ/アメリカヒドリ_1_20251214_鴨川.jpg,2025/12/14,鴨川,35.03082641,135.7717346,京都府,日本,成鳥オス,,アメリカヒドリ
6,アリスイ,/写真保管フォルダ/アリスイ_1_20260112_鵜殿.jpg,2026/1/12,鵜殿,34.85385666,135.6568714,大阪府,日本,,,アリスイ
7,アリスイ,/写真保管フォルダ/アリスイ_2_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,奈良県,日本,,,アリスイ
8,イソシギ,/写真保管フォルダ/イソシギ_1_20260305_鴨川.jpg,2026/3/5,鴨川,35.03082641,135.7717346,京都府,日本,,,イソシギ
9,イソヒヨドリ,/写真保管フォルダ/イソヒヨドリ_1_20260313_宇治川.jpg,2026/3/13,宇治川,34.86960007,135.8352196,京都府,日本,成鳥メス,,イソヒヨドリ
10,ウグイス,/写真保管フォルダ/ウグイス_1_20260305_京都府立植物園.jpg,2026/3/5,京都府立植物園,35.04891234,135.7629938,京都府,日本,,,ウグイス
11,オオジュリン,/写真保管フォルダ/オオジュリン_1_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,奈良県,日本,,,オオジュリン
